Year,GDP (current US$),Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),Energy use (kg of oil equivalent per capita),Access to clean fuels and technologies for cooking,Energy imports (% of energy use),Population growth rate,GNI per capita,Electric power consumption (kWh per capita),Access to electricity (% of population),Electric power transmission and distribution losses (% of output),Fossil fuel energy consumption (% of total),Urban population (% of total),"Population, total",Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),Demand (TWh),Country
2022,16681536442.5498,67.9255854818627,11.625807221824,-1.75293370882122,,100.0,,0.804554269312164,30970,,100.0,,,78.854,455370,98.9704,117.7551548,,,Brunei Darussalam
2000,3694168979.32019,21.6455986512559,15.8261662510115,3.20257592365611,273.814475873544,3.5,20.3363177711196,1.59016992993238,290,31.9362276863663,16.6,11.1607142857143,20.3362884659568,18.586,12462336,0.0470226,1.077223474,29.7987214798005,397.9999999999995,Cambodia
2001,4145665969.92864,23.2646257907737,17.2541894040738,3.53337669089549,270.976682515853,4.1,21.6418854663668,1.56166865874357,310,35.7862758289223,9.5,11.0019646365422,21.6418563131568,18.703,12658484,0.0769561,1.811108143,29.9057244650667,452.99999999999966,Cambodia
2002,4501227626.62752,25.3793058382166,18.9154863158961,2.90934773211661,310.725252058674,4.6,18.6365425210192,1.54239258007881,320,49.4739849684654,13.1,13.5989010989011,18.6214465678362,18.82,12855241,0.226983,3.025049479,30.0191592913356,636.0000000000001,Cambodia
2003,5046693484.31767,26.3428745441044,19.8968986028874,1.61651685032136,315.288030742241,5.2,19.5742991056218,1.5110719151833,370,50.724206817456,19.3,14.9410222804718,19.5471289832299,18.937,13050968,0.26057,3.897398361,30.098509540539,662.0000000000001,Cambodia
2004,5883297159.87352,27.6802685813967,21.2194689273508,2.2337173477841,255.895193341412,6.1,24.4785075693447,1.47375057040259,430,54.965253729955,14.2,12.760736196319,24.4328044179516,19.055,13244731,0.300437,6.618588238,30.1032587946087,728.0000000000006,Cambodia
2005,7066296463.3598,27.4192470160455,20.7794318646994,5.36603852621256,255.663171072211,6.8,27.3621041767986,1.4576145365221,510,65.9265334355418,20.5,11.0995850622407,27.1997890514563,19.174,13439202,0.317322,8.01716186,29.9928906354765,886.0000000000002,Cambodia
2006,8350531016.65753,29.0700225848228,22.0996133735908,5.7865707192619,251.436612638379,7.5,29.6840714175948,1.47594305468246,580,79.771080461159,27.5,12.0441051738762,29.4288044589195,19.293,13639028,0.468357,12.77398895,29.6130476724133,1088.0000000000005,Cambodia
2007,10127916459.8983,28.1400350776131,21.2708661128182,8.56334609470361,251.273789406991,8.4,33.4295935049111,1.47554433066197,670,99.4092518514612,20.2,14.4772117962466,32.9681312128494,19.413,13841770,0.49,18.83599976,28.8642622907811,1376.0000000000002,Cambodia
2008,12174303999.0812,26.0495966887473,19.6900110312326,6.69590818514056,248.24209009029,9.4,34.6956787195102,1.51791486007376,780,113.210401495601,26.4,11.0661268556005,32.7345560551099,19.571,14053479,0.51,30.3860731,27.7883527366484,1590.9999999999973,Cambodia
2009,12502901169.7377,25.5665162922046,19.0921648734407,7.42542554520067,355.868923099768,10.4,29.0926418606354,1.57665618141569,840,126.288715756531,25.6,14.0600315955766,27.9439948211585,19.93,14276810,0.53,44.2788579,26.427137256084,1802.9999999999995,Cambodia
2010,13808673288.0696,26.0088985136981,19.6933673443391,10.1698071899391,365.446392132366,11.5,31.667496345701,1.55621745380597,910,142.406662949152,31.1,28.6,30.0598312436618,20.294,14500726,1.26,56.74623762,24.8224340951565,2065.0000000000055,Cambodia
2011,16032622023.8265,26.6606926732023,20.5921067908236,9.59845134883883,376.551086412548,12.9,31.5769764629167,1.51839242344005,990,163.082784924168,37.4,27.9245283018868,28.9806910596603,20.663,14722584,3.1,94.39487785,21.6807107694691,2400.9999999999973,Cambodia
2012,17826536699.8016,27.6110297650086,20.9212544909796,11.1524912445112,386.485590413169,14.5,31.9329092841833,1.49998418675996,1110,204.95032313299,42.3,18.2705718270572,29.0450930218869,21.037,14945085,4.94,129.2052488,22.9965791117395,3063.000000000002,Cambodia
2013,19807135252.8649,28.9581198037895,21.6035358243074,10.4430587644193,393.149190835089,16.1,31.637960448714,1.49510212980529,1230,219.443266697464,50.9,28.0652418447694,28.612234256152,21.415,15170208,6.0,135.0996151,25.7785023524529,3329.000000000002,Cambodia
2014,22041463967.9009,29.9169916479613,21.7999725120974,8.4090202030066,413.528108359337,18.2,33.1162975078679,1.4824372519955,1330,269.212273845453,56.1,23.4160679294579,30.629081397544,21.799,15396772,14.0,134.4568277,22.1052880421246,4145.000000000004,Cambodia
2015,24174170369.0738,31.4639051712341,22.4571002060738,7.54029662001988,,20.7,,1.46023762985186,1430,,62.7,,,22.188,15623251,6.43319,135.2392534,21.599028896344,,Cambodia
2016,26556545153.3573,33.0562094608004,22.7340356176555,9.32318507305768,,23.4,,1.45860767566845,1550,,68.8,,,22.582,15852803,32.3985,127.4626128,22.4071810127085,,Cambodia
2017,29355665909.7905,34.2980809169165,23.1551231795313,9.49760203098747,,26.9,,1.38176596089867,1690,,89.1,,,22.98,16073372,32.9003,117.3225889,20.7075312769695,,Cambodia
2018,33145892168.8958,36.8714237524226,23.5663927875165,9.69240300027115,,31.2,,1.24368277407927,1920,,80.7,,,23.388,16274522,,121.1658947,22.9919425508182,,Cambodia
2019,36685356407.7206,39.0455946521572,24.6156471977013,9.98500044202808,,35.7,,1.26258301009769,2100,,84.0,,,23.805,16481304,52.3059,132.1508925,22.9738017157091,,Cambodia
2020,34818073901.4851,37.4576122779361,23.9980719281973,10.410239809326,,41.3,,1.47062988552696,2050,,86.4,,,24.232,16725474,53.6508,128.6026166,24.1436022803452,,Cambodia
2021,36790163687.4421,40.3205085730071,26.653916852434,9.4684591111041,,47.2,,1.47677836241244,2120,,82.5,,,24.668,16974305,55.6004,119.9575768,,,Cambodia
2022,39994532959.6074,40.8649626222158,27.1223298665315,8.94830125779537,,53.5,,1.33088813106016,2270,,92.3,,,25.114,17201724,56.7328,116.3256071,,,Cambodia
2000,165021012077.81,41.9690746432197,22.6597512077359,-2.75743993350903,720.369553020697,6.7,-52.5666611423003,1.43244007763682,570,382.177177950589,86.3,11.5135279935709,61.9522672519218,42.002,216077790,0.925564,1.714058712,26.2052017856205,82580.0,Indonesia
